trajectory_id,condition_id,split,time_s,cumulative_ablation_depth_mm,ablation_rate_m_s,failure_depth_mm,solid_temperature_K,heat_flux_W_m2,pressure_Pa,reached_failure,T_in_K,p_ch0_Pa,mdot_factor,k_ab_factor,dt0_mm
SIM_T001,C211,train,0.9999999999999999,0.03309295240488523,2.7951771984573296e-05,0.5,604.1563501640047,1562403.8292259153,1441927.7177193894,1,1212.2272759871762,1443985.3969099862,1.0554621522328795,1.0237197236455713,17.1786549078074
SIM_T001,C211,train,2.0000000000000004,0.057804068063392534,2.262544615993415e-05,0.5,719.7307283882138,1265442.0054823149,1439761.7396240246,1,1212.2272759871762,1443985.3969099862,1.0554621522328795,1.0237197236455713,17.1786549078074
SIM_T001,C211,train,3.0000000000000013,0.07868554939106963,1.9663594475322384e-05,0.5,783.9446217815814,1100448.0406886786,1437595.7615286594,1,1212.2272759871762,1443985.3969099862,1.0554621522328795,1.0237197236455713,17.1786549078074
SIM_T001,C211,train,4.000000000000002,0.09721153088295562,1.7699090525695112e-05,0.5,826.4999033147071,991104.6532686434,1435429.7834332946,1,1212.2272759871762,1443985.3969099862,1.0554621522328795,1.0237197236455713,17.1786549078074
SIM_T001,C211,train,4.999999999999998,0.11409024274242688,1.626801564035225e-05,0.5,857.4739975739394,911518.4710943914,1433263.8053379294,1,1212.2272759871762,1443985.3969099862,1.0554621522328795,1.0237197236455713,17.1786549078074
SIM_T001,C211,train,5.999999999999995,0.12972884764405318,1.5162582710544887e-05,0.5,881.3798624657059,850093.7042429092,1431097.8272425646,1,1212.2272759871762,1443985.3969099862,1.0554621522328795,1.0237197236455713,17.1786549078074
SIM_T001,C211,train,6.999999999999991,0.1443877471833232,1.4273636136372701e-05,0.5,900.5879152267944,800739.6997815524,1428931.8491471994,1,1212.2272759871762,1443985.3969099862,1.0554621522328795,1.0237197236455713,17.1786549078074
SIM_T001,C211,train,7.999999999999988,0.1582458032989941,1.3537479611142453e-05,0.5,916.4811799683021,759902.85553116,1426765.8710518347,1,1212.2272759871762,1443985.3969099862,1.0554621522328795,1.0237197236455713,17.1786549078074
SIM_T001,C211,train,8.999999999999984,0.17143234967016016,1.2914050823458555e-05,0.5,929.9293950670212,725348.4279566983,1424599.8929564697,1,1212.2272759871762,1443985.3969099862,1.0554621522328795,1.0237197236455713,17.1786549078074
SIM_T001,C211,train,9.99999999999998,0.18404461266064687,1.2376691887890488e-05,0.5,941.5112102415427,695589.6093557883,1422433.9148611047,1,1212.2272759871762,1443985.3969099862,1.0554621522328795,1.0237197236455713,17.1786549078074
SIM_T001,C211,train,10.999999999999977,0.1961579427410292,1.190686697792879e-05,0.5,951.6289158644754,669592.7373842322,1420267.9367657397,1,1212.2272759871762,1443985.3969099862,1.0554621522328795,1.0237197236455713,17.1786549078074
SIM_T001,C211,train,11.999999999999973,0.20783218729775563,1.1491224468465219e-05,0.5,960.572246040754,646613.356657332,1418101.9586703747,1,1212.2272759871762,1443985.3969099862,1.0554621522328795,1.0237197236455713,17.1786549078074
SIM_T001,C211,train,12.99999999999997,0.21911585037917483,1.1119863979944404e-05,0.5,968.5560111603768,626099.5240355,1415935.9805750097,1,1212.2272759871762,1443985.3969099862,1.0554621522328795,1.0237197236455713,17.1786549078074
SIM_T001,C211,train,13.999999999999966,0.23004891377596695,1.0785264018894516e-05,0.5,975.743383206781,607631.9783422549,1413770.0024796447,1,1212.2272759871762,1443985.3969099862,1.0554621522328795,1.0237197236455713,17.1786549078074
SIM_T001,C211,train,14.999999999999963,0.24066481217744276,1.0481591471324211e-05,0.5,982.2608882884634,590885.6179027472,1411604.0243842797,1,1212.2272759871762,1443985.3969099862,1.0554621522328795,1.0237197236455713,17.1786549078074
SIM_T001,C211,train,15.99999999999996,0.25099185386197687,1.020424178551862e-05,0.5,988.2083895679301,575603.8499728215,1409438.0462889147,1,1212.2272759871762,1443985.3969099862,1.0554621522328795,1.0237197236455713,17.1786549078074
SIM_T001,C211,train,16.99999999999997,0.2610542664854348,9.949523837408242e-06,0.5,993.6659284980957,561581.0125692785,1407272.06819355,1,1212.2272759871762,1443985.3969099862,1.0554621522328795,1.0237197236455713,17.1786549078074
SIM_T001,C211,train,17.999999999999986,0.2708729825047216,9.714438503594896e-06,0.5,998.6985313865958,548650.0242749087,1405106.0900981848,1,1212.2272759871762,1443985.3969099862,1.0554621522328795,1.0237197236455713,17.1786549078074
SIM_T001,C211,train,19.0,0.28046623952030897,9.496519647346673e-06,0.5,1003.3596608763396,536673.515854555,1402940.1120028198,1,1212.2272759871762,1443985.3969099862,1.0554621522328795,1.0237197236455713,17.1786549078074
SIM_T001,C211,train,20.000000000000014,0.2898500463337015,9.293717706375226e-06,0.5,1007.6937425339611,525537.3383290819,1400774.1339074548,1,1212.2272759871762,1443985.3969099862,1.0554621522328795,1.0237197236455713,17.1786549078074
